word,freq
humorous,2
classes,4
learning,6
sipping,4
paying,28
premium,14
aioli,8
legitimate,1
carribean,6
robbing,1
coleslaw,20
chickpeas,3
savoury,34
eats,29
rich,57
environment,109
protein,18
sunshine,8
deserts,24
dream,19
double,11
raw,10
resto,27
commercialized,1
stopping,14
los,7
angeles,5
lol,40
seaweed,12
tex,3
mex,3
miss,89
flight,16
pinot,7
noir,3
peach,20
shelf,2
bruschetta,18
expertise,1
wavy,1
yolk,2
richness,2
understand,28
speak,15
terre,2
neige,2
timr,1
macaroons,6
pistachio,22
acceptable,7
late,21
supper,12
non,25
takeout,66
listed,9
rates,4
gbc,1
owns,6
regards,4
shorter,1
south,19
halal,14
available,47
apply,2
deep,24
complementary,11
birthdays,8
china,10
town,148
mondays,3
wingnight,1
potatoe,7
aesthetically,3
pleasing,7
resounding,1
laffas,2
pack,11
tuesday,32
sense,26
humor,2
run,99
hold,21
creative,69
air,14
donna,2
together,54
overstuffed,2
offered,53
gotten,21
welcome,80
smiles,5
rivaled,1
libretto,12
e,22
bunch,49
lowkey,1
aroma,25
freshly,45
cheeses,17
ah,9
innovative,26
borshch,2
cabbage,26
ukrainian,2
judgments,1
greasy,70
overcooked,11
shoulder,9
amaze,1
offerings,14
mandarin,2
grill,37
doe,1
blown,19
golden,15
doubt,29
thailand,11
kafir,1
kicked,6
sensations,1
gyro,24
wad,1
hipster,24
prosciutto,27
arugula,33
personally,22
munchies,2
pair,15
note,27
ping,16
pong,10
downstairs,24
wen,3
stairs,5
nook,2
shredded,7
congee,18
taiyaki,9
explains,2
recommendation,34
address,7
given,57
eater,14
wowed,10
hostess,20
closest,18
dearest,1
chatting,11
jennifer,2
professional,23
exhilarating,2
pointed,4
direction,1
wines,34
revelation,2
jen,4
arguably,7
boom,2
evenings,8
games,30
ages,8
ceasar,11
haaaaated,1
playlist,9
seems,78
petty,1
listen,8
pig,14
squeals,1
creme,39
beaten,5
path,6
lentil,27
gooey,17
fridge,1
members,6
tad,25
dozen,26
whether,28
gobernator,5
blackened,8
anytime,22
face,18
peeb,1
efficient,50
trying,101
resist,3
banana,52
savory,15
wise,26
view,137
scenic,2
elevator,6
winterlicious,45
allways,2
attitude,13
ahem,1
